hue,app_count,label_count,duration
inequality +cardinality,44,561,0.009196999948471785
equality +cardinality,44,561,0.00967999966815114
equality miss +cardinality,44,561,0.006283999886363745
!existence --cardinality,44,561,0.013668000232428312
existence --cardinality,44,561,0.009398999623954296
notin -cardinality,44,561,0.011068999767303467
in -cardinality,44,561,0.009854000061750412
specific composite,44,561,0.01051799999549985
inequality +cardinality,5124,79368,0.04737100005149841
equality +cardinality,5124,79368,0.009440000168979168
equality miss +cardinality,5124,79368,0.006202999968081713
!existence --cardinality,5124,79368,0.07106200000271201
existence --cardinality,5124,79368,0.015709999948740005
notin -cardinality,5124,79368,0.071966000366956
in -cardinality,5124,79368,0.0508610000833869
specific composite,5124,79368,0.027293000370264053
inequality +cardinality,24,266,0.012299000285565853
equality +cardinality,24,266,0.011175000108778477
equality miss +cardinality,24,266,0.006890000309795141
!existence --cardinality,24,266,0.010528999846428633
existence --cardinality,24,266,0.011091000400483608
notin -cardinality,24,266,0.010828000027686357
in -cardinality,24,266,0.013055999763309956
specific composite,24,266,0.04153500031679869
inequality +cardinality,84,1213,0.014789000153541565
equality +cardinality,84,1213,0.012066999915987253
equality miss +cardinality,84,1213,0.0076430002227425575
!existence --cardinality,84,1213,0.010623000096529722
existence --cardinality,84,1213,0.01168300025165081
notin -cardinality,84,1213,0.013286999892443419
in -cardinality,84,1213,0.010869000107049942
specific composite,84,1213,0.031235999893397093
inequality +cardinality,164,2618,0.01472900016233325
equality +cardinality,164,2618,0.011176000349223614
equality miss +cardinality,164,2618,0.008406000211834908
!existence --cardinality,164,2618,0.01218200009316206
existence --cardinality,164,2618,0.010342999827116728
notin -cardinality,164,2618,0.01939699985086918
in -cardinality,164,2618,0.011859999969601631
specific composite,164,2618,0.034109000116586685
inequality +cardinality,10244,158726,0.6167450002394617
equality +cardinality,10244,158726,0.010313999839127064
equality miss +cardinality,10244,158726,0.0067529999651014805
!existence --cardinality,10244,158726,0.6381709999404848
existence --cardinality,10244,158726,0.23233400005847216
notin -cardinality,10244,158726,0.6324149998836219
in -cardinality,10244,158726,0.26004499988630414
specific composite,10244,158726,15.8669369998388
inequality +cardinality,20484,317623,1.1069450001232326
equality +cardinality,20484,317623,0.007149000186473131
equality miss +cardinality,20484,317623,0.007420000154525042
!existence --cardinality,20484,317623,1.1943500000052154
existence --cardinality,20484,317623,0.40778200002387166
notin -cardinality,20484,317623,1.1988140000030398
in -cardinality,20484,317623,0.5490109999664128
specific composite,20484,317623,32.404730999842286
inequality +cardinality,644,9497,0.017405000049620867
equality +cardinality,644,9497,0.010611999779939651
equality miss +cardinality,644,9497,0.008580999914556742
!existence --cardinality,644,9497,0.02095499960705638
existence --cardinality,644,9497,0.011952999979257584
notin -cardinality,644,9497,0.019517000298947096
in -cardinality,644,9497,0.012629000004380941
specific composite,644,9497,0.055112999863922596
inequality +cardinality,2564,38822,0.03729799995198846
equality +cardinality,2564,38822,0.011560000013560057
equality miss +cardinality,2564,38822,0.008779999800026417
!existence --cardinality,2564,38822,0.05573200015351176
existence --cardinality,2564,38822,0.0119439996778965
notin -cardinality,2564,38822,0.03384000016376376
in -cardinality,2564,38822,0.04156700009480119
specific composite,2564,38822,0.036329000256955624
inequality +cardinality,324,4770,0.013445999938994646
equality +cardinality,324,4770,0.012851000297814608
equality miss +cardinality,324,4770,0.007203999906778336
!existence --cardinality,324,4770,0.015449999831616879
existence --cardinality,324,4770,0.011011000256985426
notin -cardinality,324,4770,0.015128000173717737
in -cardinality,324,4770,0.011493999976664782
specific composite,324,4770,0.04847100004553795
inequality +cardinality,1284,20006,0.08386299991980195
equality +cardinality,1284,20006,0.06075900001451373
equality miss +cardinality,1284,20006,0.06826400011777878
!existence --cardinality,1284,20006,0.08734700037166476
existence --cardinality,1284,20006,0.7494799997657537
notin -cardinality,1284,20006,0.08646300015971065
in -cardinality,1284,20006,1.6529330001212656
specific composite,1284,20006,0.7097110003232956
